X,Y,Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,DEPARTAMEN,MUNICIPIO,RED,CODIGO_EST,TIPO,SUB_SEC,NIVEL,INSTITUCIO,AMBITO,ZONA_O_BAR,DIRECCION_,HORARO_DE_,HORARIO,No_CAMAS_E,No_CAMAS_O,No_CAMAS_I,No_CAMAS_U,No_CAMAS_1,No_MEDICO_,No_LIC_ENF,No_AUX_ENF,No_MEDIC_1,No_LIC_E_1,No_AUX_E_1,TOTAL_MEDI,TOTAL_LIC_,TOTAL_AUX_,TOTAL_RR_H,OTROS_RRHH,OTROS_RR_1,TOTAL_RR_1,TELEFONO_E,NOMBRE_DIR,CELULAR_RE,POBLAC_PRO,LATITUD,LONGITUD,layer,path,icon_url
-64.88626,-14.826722,CIPRIANO BARACE,DEPARTAMENTO: BENI      <br>MUNICIPIO: TRINIDAD<br>RED: 01 TRINIDAD<br>CODIGO_ESTABLECIMIENTO: 800019<br>TIPO: C.S. AMBULATORIO<br>SUB_SEC: Público<br>NIVEL: 1er NIVEL<br>INSTITUCION: G.A.M.<br>AMBITO: U<br>ZONA_O_BARRIO: BARRIO PAITITI<br>DIRECCION_EST,,,,,"-1","0","-1",,,BENI,TRINIDAD,01 TRINIDAD,"800019.0",C.S. AMBULATORIO,Público,1er NIVEL,G.A.M.,U,BARRIO PAITITI,CALLE EXALTACION,12 Hrs.,CONTINUO,"0.0","2.0","0.0","0.0","0.0","2.0","1.0","2.0","1.0","1.0","0.0","3.0","2.0","2.0","7.0","1.0","8.0","9.0",S/T,HELEN ZABALA,,"956732.0","-14.826722","-64.88626",migra1_1ernivel,D:\SIGDGGH\mapas\migra1_1ernivel.shp,./0.png
-64.90174,-14.827306,COMPLEJO DE SALUD,DEPARTAMENTO: BENI      <br>MUNICIPIO: TRINIDAD<br>RED: 01 TRINIDAD<br>CODIGO_ESTABLECIMIENTO: 800022<br>TIPO: C.S. AMBULATORIO<br>SUB_SEC: Público<br>NIVEL: 1er NIVEL<br>INSTITUCION: Universidad<br>AMBITO: U<br>ZONA_O_BARRIO: CENTRAL<br>DIRECCION_ESTAB,,,,,"-1","0","-1",,,BENI,TRINIDAD,01 TRINIDAD,"800022.0",C.S. AMBULATORIO,Público,1er NIVEL,Universidad,U,CENTRAL,C/ COCHABAMBA,8 Hrs.,DISCONTINUO,"0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","1.0","1.0","0.0","2.0","4.0","1.0","5.0",S/T,EIDA ZABALA AÑEZ,,"956732.0","-14.827306","-64.90174",migra1_1ernivel,D:\SIGDGGH\mapas\migra1_1ernivel.shp,./0.png
-64.90675,-14.848221,PLATAFORMA,DEPARTAMENTO: BENI      <br>MUNICIPIO: TRINIDAD<br>RED: 01 TRINIDAD<br>CODIGO_ESTABLECIMIENTO: 800023<br>TIPO: C.S. AMBULATORIO<br>SUB_SEC: Público<br>NIVEL: 1er NIVEL<br>INSTITUCION: G.A.M.<br>AMBITO: U<br>ZONA_O_BARRIO: 18 DE AGOSTO<br>DIRECCION_ESTAB,,,,,"-1","0","-1",,,BENI,TRINIDAD,01 TRINIDAD,"800023.0",C.S. AMBULATORIO,Público,1er NIVEL,G.A.M.,U,18 DE AGOSTO,MAMERTO DURAN,12 Hrs.,CONTINUO,"0.0","0.0","0.0","0.0","0.0","4.0","0.0","3.0","1.0","1.0","0.0","5.0","1.0","3.0","9.0","0.0","7.0","7.0",S/T,CLAUDIA VANESSA ARROYO CHAVEZ,,"956732.0","-14.848221","-64.90675",migra1_1ernivel,D:\SIGDGGH\mapas\migra1_1ernivel.shp,./0.png
-64.91267,-14.836627,CSBP - POLICONSULTORIO TRINIDAD,DEPARTAMENTO: BENI      <br>MUNICIPIO: TRINIDAD<br>RED: 01 TRINIDAD<br>CODIGO_ESTABLECIMIENTO: 800024<br>TIPO: POLICONSULTORIO<br>SUB_SEC: Seguridad Social (CAJAS)<br>NIVEL: 1er NIVEL<br>INSTITUCION: Caja de Salud de La Banca Privada<br>AMBITO: U<br>ZONA,,,,,"-1","0","-1",,,BENI,TRINIDAD,01 TRINIDAD,"800024.0",POLICONSULTORIO,Seguridad Social (CAJAS),1er NIVEL,Caja de Salud de La Banca Privada,U,ZONA SAN ANTONIO,CALLE MAMORE ESQ. AV. 27 DE MAYO,8 Hrs.,CONTINUO,"1.0","0.0","0.0","0.0","0.0","3.0","0.0","5.0","2.0","0.0","0.0","5.0","0.0","5.0","10.0","13.0","1.0","14.0",346 22548,MIRIAN QUIROGA,,"956732.0","-14.836627","-64.91267",migra1_1ernivel,D:\SIGDGGH\mapas\migra1_1ernivel.shp,./0.png
-64.87562,-14.822563,NUEVA TRINIDAD,DEPARTAMENTO: BENI      <br>MUNICIPIO: TRINIDAD<br>RED: 01 TRINIDAD<br>CODIGO_ESTABLECIMIENTO: 800025<br>TIPO: C.S. AMBULATORIO<br>SUB_SEC: Público<br>NIVEL: 1er NIVEL<br>INSTITUCION: G.A.M.<br>AMBITO: U<br>ZONA_O_BARRIO: NUEVA TRINIDAD<br>DIRECCION_EST,,,,,"-1","0","-1",,,BENI,TRINIDAD,01 TRINIDAD,"800025.0",C.S. AMBULATORIO,Público,1er NIVEL,G.A.M.,U,NUEVA TRINIDAD,CALLE NÚMERO 2,12 Hrs.,CONTINUO,"1.0","1.0","1.0","0.0","0.0","4.0","1.0","3.0","1.0","1.0","0.0","5.0","2.0","3.0","10.0","2.0","6.0","8.0","76793278",CARLOS DARWIN LOTORE,,"956732.0","-14.822563","-64.87562",migra1_1ernivel,D:\SIGDGGH\mapas\migra1_1ernivel.shp,./0.png
-64.46722,-14.791085,IVIATO,DEPARTAMENTO: BENI      <br>MUNICIPIO: TRINIDAD<br>RED: 01 TRINIDAD<br>CODIGO_ESTABLECIMIENTO: 800027<br>TIPO: C.S. AMBULATORIO<br>SUB_SEC: Público<br>NIVEL: 1er NIVEL<br>INSTITUCION: G.A.M.<br>AMBITO: R<br>ZONA_O_BARRIO: IVIATO<br>DIRECCION_ESTABLECIMI,,,,,"-1","0","-1",,,BENI,TRINIDAD,01 TRINIDAD,"800027.0",C.S. AMBULATORIO,Público,1er NIVEL,G.A.M.,R,IVIATO,IVIATO,8 Hrs.,CONTINUO,"2.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0","1.0",S/T,CINTHIA ANDERSON,,"956732.0","-14.791085","-64.46722",migra1_1ernivel,D:\SIGDGGH\mapas\migra1_1ernivel.shp,./0.png
-64.60639,-14.5963419,LAGUNA COLORADA,DEPARTAMENTO: BENI      <br>MUNICIPIO: SAN JAVIER(BNI)<br>RED: 01 TRINIDAD<br>CODIGO_ESTABLECIMIENTO: 800028<br>TIPO: PUESTO DE SALUD<br>SUB_SEC: Público<br>NIVEL: 1er NIVEL<br>INSTITUCION: G.A.M.<br>AMBITO: R<br>ZONA_O_BARRIO: LAGUNA COLORADA<br>DIRECC,,,,,"-1","0","-1",,,BENI,SAN JAVIER(BNI),01 TRINIDAD,"800028.0",PUESTO DE SALUD,Público,1er NIVEL,G.A.M.,R,LAGUNA COLORADA,LAGUNA COLORADA,8 Hrs.,DISCONTINUO,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0",S/T,ERIKA MARIA SALVATIERRA HURTADO,,"956732.0","-14.5963419","-64.60639",migra1_1ernivel,D:\SIGDGGH\mapas\migra1_1ernivel.shp,./0.png
-64.2745,-14.62511,NUEVO ISRAEL,DEPARTAMENTO: BENI      <br>MUNICIPIO: SAN JAVIER(BNI)<br>RED: 01 TRINIDAD<br>CODIGO_ESTABLECIMIENTO: 800029<br>TIPO: PUESTO DE SALUD<br>SUB_SEC: Público<br>NIVEL: 1er NIVEL<br>INSTITUCION: G.A.M.<br>AMBITO: R<br>ZONA_O_BARRIO: NUEVO ISRAEL<br>DIRECCION,,,,,"-1","0","-1",,,BENI,SAN JAVIER(BNI),01 TRINIDAD,"800029.0",PUESTO DE SALUD,Público,1er NIVEL,G.A.M.,R,NUEVO ISRAEL,S/N,6 Hrs.,CONTINUO,"1.0","2.0","4.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","2.0","0.0","0.0","0.0",S/T,MAX SAVIER OSINAGA RIVERO,,"956732.0","-14.62511","-64.27450",migra1_1ernivel,D:\SIGDGGH\mapas\migra1_1ernivel.shp,./0.png
-64.88139,-14.601345,SAN JAVIER,DEPARTAMENTO: BENI      <br>MUNICIPIO: SAN JAVIER(BNI)<br>RED: 01 TRINIDAD<br>CODIGO_ESTABLECIMIENTO: 800030<br>TIPO: C.S. CON INTERNACION<br>SUB_SEC: Público<br>NIVEL: 1er NIVEL<br>INSTITUCION: G.A.M.<br>AMBITO: R<br>ZONA_O_BARRIO: SAN JAVIER<br>DIRECC,,,,,"-1","0","-1",,,BENI,SAN JAVIER(BNI),01 TRINIDAD,"800030.0",C.S. CON INTERNACION,Público,1er NIVEL,G.A.M.,R,SAN JAVIER,SAN JAVIER,12 Hrs.,DISCONTINUO,"0.0","3.0","0.0","0.0","0.0","3.0","0.0","2.0","0.0","0.0","0.0","3.0","0.0","2.0","5.0","2.0","2.0","4.0",S/T,AMPARO MENACHO,,"956732.0","-14.601345","-64.88139",migra1_1ernivel,D:\SIGDGGH\mapas\migra1_1ernivel.shp,./0.png
-64.89922,-14.338086,SAN PEDRO NUEVO,DEPARTAMENTO: BENI      <br>MUNICIPIO: SAN JAVIER(BNI)<br>RED: 01 TRINIDAD<br>CODIGO_ESTABLECIMIENTO: 800031<br>TIPO: C.S. CON INTERNACION<br>SUB_SEC: Público<br>NIVEL: 1er NIVEL<br>INSTITUCION: G.A.M.<br>AMBITO: R<br>ZONA_O_BARRIO: NORTE<br>DIRECCION_E,,,,,"-1","0","-1",,,BENI,SAN JAVIER(BNI),01 TRINIDAD,"800031.0",C.S. CON INTERNACION,Público,1er NIVEL,G.A.M.,R,NORTE,EL TAJIBO,6 Hrs.,DISCONTINUO,"0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","72833832",EDUARDO ALEJANDRO SOTTO,,"956732.0","-14.338086","-64.89922",migra1_1ernivel,D:\SIGDGGH\mapas\migra1_1ernivel.shp,./0.png
-65.41369,-11.00587,12 DE OCTUBRE,DEPARTAMENTO: BENI      <br>MUNICIPIO: RIBERALTA<br>RED: 07 RIBERALTA<br>CODIGO_ESTABLECIMIENTO: 800032<br>TIPO: C.S. CON INTERNACION<br>SUB_SEC: Público<br>NIVEL: 1er NIVEL<br>INSTITUCION: G.A.M.<br>AMBITO: R<br>ZONA_O_BARRIO: COMUNIDAD 12 DE OCTUBRE<b,,,,,"-1","0","-1",,,BENI,RIBERALTA,07 RIBERALTA,"800032.0",C.S. CON INTERNACION,Público,1er NIVEL,G.A.M.,R,COMUNIDAD 12 DE OCTUBRE,CARRETERA RIBERALTA-GUAYARAMERIN,8 Hrs.,CONTINUO,"0.0","2.0","0.0","0.0","0.0","1.0","0.0","1.0","1.0","1.0","0.0","2.0","1.0","1.0","4.0","1.0","3.0","4.0",S/T,SANTOS CHIPUNAVI SOTO,,"956732.0","-11.00587","-65.41369",migra1_1ernivel,D:\SIGDGGH\mapas\migra1_1ernivel.shp,./0.png
-66.2116,-11.3303602,BELLA FLOR,DEPARTAMENTO: BENI      <br>MUNICIPIO: RIBERALTA<br>RED: 07 RIBERALTA<br>CODIGO_ESTABLECIMIENTO: 800033<br>TIPO: C.S. AMBULATORIO<br>SUB_SEC: Público<br>NIVEL: 1er NIVEL<br>INSTITUCION: G.A.M.<br>AMBITO: R<br>ZONA_O_BARRIO: COMUNIDAD BELLA FLOR<br>DIREC,,,,,"-1","0","-1",,,BENI,RIBERALTA,07 RIBERALTA,"800033.0",C.S. AMBULATORIO,Público,1er NIVEL,G.A.M.,R,COMUNIDAD BELLA FLOR,CARRETERA RIBERALTA-LA PAZ,8 Hrs.,CONTINUO,"0.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","1.0","0.0","2.0","1.0","0.0","1.0","77842192",JESUS ALBERTO LOBO CHAVEZ,,"956732.0","-11.3303602","-66.21160",migra1_1ernivel,D:\SIGDGGH\mapas\migra1_1ernivel.shp,./0.png
-66.76831,-11.763684,BUEN DESTINO,DEPARTAMENTO: BENI      <br>MUNICIPIO: RIBERALTA<br>RED: 07 RIBERALTA<br>CODIGO_ESTABLECIMIENTO: 800034<br>TIPO: C.S. AMBULATORIO<br>SUB_SEC: Público<br>NIVEL: 1er NIVEL<br>INSTITUCION: G.A.M.<br>AMBITO: R<br>ZONA_O_BARRIO: COMUNIDAD BUEN DESTINO<br>DIR,,,,,"-1","0","-1",,,BENI,RIBERALTA,07 RIBERALTA,"800034.0",C.S. AMBULATORIO,Público,1er NIVEL,G.A.M.,R,COMUNIDAD BUEN DESTINO,TERRITORIO KAVINEÑO,8 Hrs.,CONTINUO,"0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","2.0","0.0","0.0","0.0","63071550",HERNAN EAMARA CARRILLO,,"956732.0","-11.763684","-66.76831",migra1_1ernivel,D:\SIGDGGH\mapas\migra1_1ernivel.shp,./0.png
-66.06581,-11.018153,EL CERRITO,DEPARTAMENTO: BENI      <br>MUNICIPIO: RIBERALTA<br>RED: 07 RIBERALTA<br>CODIGO_ESTABLECIMIENTO: 800035<br>TIPO: C.S. AMBULATORIO<br>SUB_SEC: Público<br>NIVEL: 1er NIVEL<br>INSTITUCION: G.A.M.<br>AMBITO: U<br>ZONA_O_BARRIO: EL CERRITO<br>DIRECCION_ESTAB,,,,,"-1","0","-1",,,BENI,RIBERALTA,07 RIBERALTA,"800035.0",C.S. AMBULATORIO,Público,1er NIVEL,G.A.M.,U,EL CERRITO,AV. RIO MADRE DE DIOS,12 Hrs.,CONTINUO,"0.0","0.0","4.0","0.0","0.0","2.0","0.0","3.0","1.0","4.0","1.0","3.0","4.0","4.0","11.0","7.0","4.0","11.0","73909949",MARIO RAMALLO CANALES,,"956732.0","-11.018153","-66.06581",migra1_1ernivel,D:\SIGDGGH\mapas\migra1_1ernivel.shp,./0.png
